iter	Passed	Remaining
401	18185	4433
402	18233	4388
403	18278	4343
404	18323	4298
405	18368	4252
406	18444	4214
407	18488	4169
408	18534	4123
409	18577	4077
410	18625	4033
411	18673	3988
412	18720	3943
413	18764	3898
414	18815	3853
415	18870	3810
416	18928	3767
417	18976	3722
418	19026	3678
419	19073	3633
420	19123	3588
421	19169	3543
422	19214	3497
423	19257	3451
424	19303	3406
425	19354	3362
426	19399	3316
427	19443	3270
428	19493	3226
429	19539	3180
430	19588	3135
431	19633	3090
432	19680	3045
433	19725	2999
434	19773	2954
435	19823	2909
436	19871	2864
437	19921	2819
438	19968	2774
439	20014	2729
440	20062	2684
441	20126	2641
442	20171	2595
443	20216	2549
444	20266	2504
445	20329	2461
446	20378	2416
447	20422	2370
448	20467	2324
449	20530	2281
450	20576	2235
451	20626	2190
452	20672	2144
453	20721	2099
454	20766	2053
455	20811	2008
456	20854	1962
457	20903	1916
458	20969	1873
459	21013	1827
460	21057	1781
461	21102	1735
462	21149	1690
463	21191	1644
464	21240	1598
465	21288	1553
466	21335	1507
467	21385	1462
468	21443	1417
469	21496	1372
470	21547	1326
471	21595	1281
472	21642	1235
473	21688	1189
474	21740	1144
475	21789	1098
476	21839	1053
477	21889	1007
478	21957	962
479	22005	916
480	22052	871
481	22100	825
482	22145	779
483	22193	733
484	22242	687
485	22288	642
486	22335	596
487	22380	550
488	22439	504
489	22486	458
490	22532	413
491	22575	367
492	22618	321
493	22667	275
494	22713	229
495	22758	183
496	22812	137
497	22859	91
498	22920	45
499	22967	0
