iter	Logloss
0	0.6716503313
1	0.6525157829
2	0.6349828705
3	0.61923078
4	0.6045706302
5	0.591527877
6	0.5770680184
7	0.5657989947
8	0.5539967469
9	0.5448533365
10	0.5348905307
11	0.5254700551
12	0.5168344023
13	0.5101452519
14	0.5025270854
15	0.495969988
16	0.4899991913
17	0.4843616886
18	0.4790580758
19	0.4750039663
20	0.4710716955
21	0.466814266
22	0.463781792
23	0.460605414
24	0.45882155
25	0.4559447792
26	0.4534295778
27	0.4505844976
28	0.4479091277
29	0.4452408953
30	0.4429316632
31	0.4404574035
32	0.4388932379
33	0.4380029216
34	0.4363715989
35	0.4349607117
36	0.4335942451
37	0.4320040374
38	0.4304674551
39	0.4290645605
40	0.4277214195
41	0.4269739957
42	0.4258541529
43	0.4250646161
44	0.4238768548
45	0.423305858
46	0.4230526223
47	0.4223878242
48	0.4218120427
49	0.421607352
50	0.4204469899
51	0.419870803
52	0.4189800202
53	0.4182019774
54	0.4172894424
55	0.4163950908
56	0.4162357279
57	0.41571183
58	0.41492262
59	0.4140467437
60	0.4133439863
61	0.4126694746
62	0.4123528531
63	0.4122361841
64	0.4121489826
65	0.4116399758
66	0.4110111883
67	0.410519462
68	0.4098455275
69	0.4094059537
70	0.4086887381
71	0.4084647415
72	0.4079725966
73	0.4073927389
74	0.4068306062
75	0.4061548474
76	0.4059000307
77	0.4054101365
78	0.4049542517
79	0.4046069088
80	0.4041853621
81	0.4037112662
82	0.4035400224
83	0.4031762047
84	0.4027759485
85	0.4025580743
86	0.4024432317
87	0.4024419111
88	0.4020726775
89	0.402022259
90	0.4017491369
91	0.4016881466
92	0.4013013953
93	0.4008005414
94	0.4006664461
95	0.400244851
96	0.4002161348
97	0.3997864245
98	0.3993808819
99	0.3992161689
100	0.3989130343
101	0.3986797244
102	0.3982475608
103	0.3978010973
104	0.3975978941
105	0.3971963
106	0.3968781672
107	0.3965613634
108	0.3962944093
109	0.3962027659
110	0.3956688793
111	0.3955932584
