iter	Logloss
314	0.3528495444
315	0.3526411684
316	0.3525339396
317	0.3524029308
318	0.3521534491
319	0.3520894694
320	0.3519828104
321	0.3517874555
322	0.3516283813
323	0.3515033598
324	0.3514185231
325	0.3509487391
326	0.3507708054
327	0.350687402
328	0.3504598903
329	0.3503495041
330	0.3501686682
331	0.3499101467
332	0.3498210348
333	0.3494028846
334	0.349358063
335	0.3490605524
336	0.3488180037
337	0.3484951849
338	0.3483142826
339	0.348199599
340	0.3479901885
341	0.3477273926
342	0.3475064913
343	0.3473399781
344	0.3471556043
345	0.3469520395
346	0.3466026219
347	0.3463773916
348	0.3462228085
349	0.3461508306
350	0.3460175872
351	0.3458431993
352	0.3454995879
353	0.3451970064
354	0.345110199
355	0.3447731022
356	0.3446840814
357	0.3445503649
358	0.344458224
359	0.3440978358
360	0.3439050423
361	0.3436886683
362	0.3435651024
363	0.3434371426
364	0.3432893469
365	0.342947908
366	0.3428134684
367	0.3426173761
368	0.3424899407
369	0.342377164
370	0.3421469037
371	0.3420273633
372	0.3415759116
373	0.3414615796
374	0.34139764
375	0.3413169755
376	0.3411147568
377	0.3410075016
378	0.3407002656
379	0.3405884509
380	0.3403903416
381	0.3403272746
382	0.3401830411
383	0.3400521161
384	0.3398487804
385	0.3396801082
386	0.3395089214
387	0.3393451507
388	0.3392108245
389	0.3389851412
390	0.338905753
391	0.3387739095
392	0.3385380269
393	0.3384343702
394	0.3383167028
395	0.3381750031
396	0.3379036872
397	0.3377806059
398	0.3375244398
399	0.3373756089
400	0.3372617958
401	0.3371872269
402	0.3370547418
403	0.3367919311
404	0.3364495749
405	0.3362005305
406	0.3359001492
407	0.3357191827
408	0.3353821729
409	0.3352713851
410	0.3351614181
411	0.334899882
412	0.3348739604
413	0.3347609488
414	0.3346907058
415	0.3345339067
416	0.3343597013
417	0.3341271241
418	0.3340067483
419	0.3339293581
420	0.333733586
421	0.3336545239
422	0.3336341239
423	0.3333529638
424	0.3331517537
425	0.3330301377
426	0.3327140015
427	0.3325624997
428	0.3324614297
429	0.3321999088
430	0.3320627943
431	0.3319131614
432	0.3316051549
433	0.3312999302
434	0.3312323644
435	0.3311066952
436	0.3309951476
437	0.3306342024
438	0.3304372636
439	0.3301532613
440	0.3300712645
441	0.3299589701
442	0.3297630176
443	0.3296369814
444	0.3295945733
445	0.329436784
446	0.3292824434
447	0.3290629405
448	0.3288364486
449	0.3284202143
450	0.3282682264
451	0.328026613
452	0.3279336805
453	0.327714477
454	0.3276349586
455	0.3275007181
456	0.3273133489
457	0.3272810722
458	0.327245392
459	0.3270409313
460	0.3266969675
461	0.3266029994
462	0.3265370396
463	0.3264852603
464	0.326384291
465	0.3261053141
466	0.3259790527
467	0.3258895992
468	0.3258713068
469	0.3256779969
470	0.325634004
471	0.3255777737
472	0.3252834877
473	0.3251740652
474	0.3250774196
475	0.3248538255
476	0.3246771909
477	0.3246092316
478	0.3244253647
479	0.3242782895
480	0.3238921207
481	0.3238136547
482	0.3233377313
483	0.3231553752
484	0.3230116366
485	0.322769832
486	0.32265683
487	0.3224435996
488	0.3223120821
489	0.322222872
490	0.3221364241
491	0.322097002
492	0.3218668628
493	0.3216300932
494	0.3214794428
495	0.3212251654
496	0.3210389815
497	0.3209452983
498	0.3208282474
499	0.3207301813
