iter	Logloss
0	0.6689584573
1	0.6480366678
2	0.6293861554
3	0.6106715949
4	0.594335144
5	0.5794832024
6	0.5657871757
7	0.5548802089
8	0.5432866502
9	0.5322485098
10	0.5228064095
11	0.5135583576
12	0.5048723653
13	0.4969254107
14	0.4905027713
15	0.4845385528
16	0.4796961493
17	0.4741604859
18	0.4694036326
19	0.4651395079
20	0.4613197081
21	0.4586218662
22	0.456047512
23	0.4525933748
24	0.449236073
25	0.4462086181
26	0.4438582753
27	0.4411023632
28	0.4389649647
29	0.4363978757
30	0.4342507213
31	0.4324832384
32	0.4312067985
33	0.4297641939
34	0.4288070588
35	0.4269950344
36	0.4257951156
37	0.4244696003
38	0.4232399295
39	0.4218662263
40	0.4207752118
41	0.4204258601
42	0.4191694148
43	0.4178252308
44	0.416870654
45	0.4157669998
46	0.4155252737
47	0.4147063447
48	0.413743572
49	0.4129879802
50	0.4126624678
51	0.4125000663
52	0.411587136
53	0.4112160909
54	0.4102059647
55	0.4092533115
56	0.4086214141
57	0.4079818967
58	0.4075084155
59	0.4066655332
60	0.4061787808
61	0.4060382319
62	0.4057691875
63	0.4048191671
64	0.4042827178
65	0.403713956
66	0.4032416776
67	0.4026456647
68	0.4020481714
69	0.4015282655
70	0.4007888403
71	0.4003388527
72	0.4000212588
73	0.3994892208
74	0.3989322928
75	0.398840031
76	0.3982758762
77	0.3975880934
78	0.3971686445
79	0.3968226794
80	0.3963564297
81	0.3957270038
82	0.3955797219
83	0.3954895466
84	0.3949617445
85	0.3945510354
86	0.3943311477
87	0.3936121945
88	0.3935082659
89	0.3931935566
90	0.3930327144
91	0.3926853191
92	0.3924418894
93	0.3921858689
94	0.3919071187
95	0.3916075053
96	0.3911560842
97	0.3907355882
98	0.3906146452
99	0.3902471862
100	0.3899365038
101	0.3897581671
102	0.3893109487
103	0.3889954533
104	0.3888526261
105	0.3884389352
106	0.3882775619
107	0.3880721216
108	0.3876046328
109	0.3874003268
110	0.3869906999
111	0.3867805551
112	0.3867330896
113	0.3866148045
114	0.3865040639
115	0.3862550615
116	0.3857521891
117	0.3854355239
118	0.3849794827
119	0.3846795732
120	0.3846795724
121	0.384513175
122	0.3843262847
123	0.3842151068
124	0.3839621253
125	0.3837591465
126	0.3832188017
127	0.3832090274
128	0.3830598525
129	0.3827592113
130	0.382528496
131	0.3823656741
132	0.3821546528
133	0.3821401768
134	0.3819700268
135	0.3819587627
136	0.3819537494
137	0.3817358845
138	0.3817296245
139	0.3816901628
140	0.3816652196
141	0.3815425004
142	0.3814996885
143	0.381243258
144	0.3810045215
145	0.3809877774
146	0.380666119
147	0.3806536098
148	0.3804040582
149	0.3801427916
150	0.380127629
151	0.3797225742
152	0.3796525686
153	0.3795340214
154	0.3794125114
155	0.379349902
156	0.3792290363
157	0.3790015441
158	0.3787485049
159	0.3786326135
160	0.3785512844
161	0.3784050203
162	0.3781397491
163	0.3778585537
164	0.3774388856
165	0.3773156014
166	0.3771451582
167	0.377080414
168	0.3766513761
169	0.3766512771
170	0.3765950964
171	0.3762731665
172	0.3757334598
173	0.3757119594
174	0.3757105919
175	0.3757104876
176	0.3754872423
177	0.3752806937
178	0.3751955708
179	0.3749530439
180	0.3747653544
181	0.3747613792
182	0.374761363
183	0.3746237208
184	0.3746151757
185	0.374553572
186	0.3744695417
187	0.3743768868
188	0.3741842085
189	0.3741302477
190	0.3737403724
191	0.3736904045
192	0.3733123199
193	0.3732992935
194	0.3730471937
195	0.3728649664
196	0.3726359741
197	0.3725210414
198	0.3723399138
199	0.3723398798
200	0.3721523763
201	0.3718839564
202	0.3716542249
203	0.3716542143
204	0.3715442927
205	0.3712990757
206	0.3711712254
207	0.3710393356
208	0.3708319094
209	0.370761316
210	0.3706821457
211	0.370658816
212	0.3705811001
213	0.3705235573
214	0.3705156773
215	0.3703334709
216	0.3701500367
217	0.3699685608
218	0.3698069907
219	0.3694894321
220	0.3694238916
221	0.369172018
222	0.3690679961
223	0.3687911528
224	0.3687670359
225	0.368427666
226	0.3681155348
227	0.3679708973
228	0.3677670544
229	0.3677217894
230	0.3675958676
231	0.3674413224
232	0.3674145497
233	0.3673270432
234	0.3672649189
235	0.3670847329
236	0.367075576
237	0.3667865796
238	0.3665618172
239	0.3663671396
240	0.3662839719
241	0.3661241442
242	0.3658468409
243	0.3657582097
244	0.3655446891
245	0.3653544593
246	0.3652942658
247	0.365065466
248	0.3648724256
249	0.3646283568
250	0.3644398383
251	0.3643483301
252	0.3641964371
253	0.364072071
254	0.3637209289
255	0.3633725696
256	0.3632542601
257	0.3630078642
258	0.3626718606
259	0.3623196283
260	0.3622155826
261	0.3620792504
262	0.3620053782
263	0.3618397431
264	0.3616603543
265	0.3614938067
266	0.3613858607
267	0.3612183365
268	0.3610847199
269	0.3609286732
270	0.3608512328
271	0.3604721664
272	0.3603515202
273	0.3602638517
274	0.3600345046
275	0.3599839166
276	0.3597828391
277	0.359538127
278	0.3593307921
279	0.3591069328
280	0.359043359
281	0.3588547219
282	0.3587066215
283	0.3586391792
284	0.3583593775
285	0.3580347418
286	0.3579646137
287	0.3578064803
288	0.3575508436
289	0.3574212017
290	0.3571427063
291	0.3568721815
292	0.3565286707
293	0.3563626492
294	0.3562084912
295	0.3560921342
296	0.3560423798
297	0.3559326827
298	0.3557240604
299	0.3554407496
300	0.3551409435
301	0.3549128516
302	0.3548414733
303	0.3546732117
304	0.3546542359
305	0.3545387582
306	0.3543405593
307	0.3541917025
308	0.3539998914
309	0.3538107976
310	0.3536730833
311	0.353400605
312	0.3532100877
313	0.3529821597
