iter	Passed	Remaining
400	18602	4592
401	18647	4545
402	18695	4499
403	18741	4453
404	18797	4409
405	18839	4361
406	18884	4315
407	18929	4268
408	18974	4221
409	19021	4175
410	19065	4128
411	19111	4081
412	19156	4035
413	19205	3989
414	19251	3943
415	19301	3897
416	19347	3851
417	19389	3803
418	19430	3756
419	19473	3709
420	19520	3662
421	19565	3616
422	19606	3569
423	19652	3522
424	19700	3476
425	19748	3430
426	19794	3384
427	19846	3338
428	19892	3292
429	19940	3246
430	19985	3199
431	20033	3153
432	20079	3107
433	20138	3062
434	20183	3015
435	20227	2969
436	20270	2922
437	20313	2875
438	20384	2832
439	20432	2786
440	20477	2739
441	20521	2692
442	20566	2646
443	20609	2599
444	20666	2554
445	20708	2507
446	20753	2460
447	20798	2414
448	20843	2367
449	20887	2320
450	20935	2274
451	20977	2227
452	21038	2182
453	21086	2136
454	21131	2089
455	21175	2043
456	21219	1996
457	21260	1949
458	21308	1903
459	21369	1858
460	21412	1811
461	21454	1764
462	21497	1717
463	21541	1671
464	21586	1624
465	21643	1579
466	21689	1532
467	21735	1486
468	21778	1439
469	21823	1392
470	21878	1347
471	21921	1300
472	21968	1254
473	22015	1207
474	22067	1161
475	22126	1115
476	22180	1069
477	22228	1023
478	22273	976
479	22344	931
480	22387	884
481	22432	837
482	22490	791
483	22537	745
484	22580	698
485	22629	651
486	22679	605
487	22722	558
488	22767	512
489	22814	465
490	22867	419
491	22910	372
492	22954	325
493	22999	279
494	23042	232
495	23088	186
496	23134	139
497	23178	93
498	23225	46
499	23266	0
